State.Name,temp,year
ALABAMA,65.375,2019
ARIZONA,60.28333333,2019
ARKANSAS,61.225,2019
CALIFORNIA,58.375,2019
COLORADO,45.25833333,2019
CONNECTICUT,49.825,2019
DELAWARE,57.51666667,2019
FLORIDA,73.18333333,2019
GEORGIA,66.225,2019
IDAHO,42.96666667,2019
ILLINOIS,52.09166667,2019
INDIANA,52.39166667,2019
IOWA,46.825,2019
KANSAS,53.875,2019
KENTUCKY,57.525,2019
LOUISIANA,67.76666667,2019
MAINE,40.65833333,2019
MARYLAND,56.58333333,2019
MASSACHUSETTS,48.61666667,2019
MICHIGAN,43.925,2019
MINNESOTA,39.26666667,2019
MISSISSIPPI,65.1,2019
MISSOURI,54.975,2019
MONTANA,39.90833333,2019
NEBRASKA,47.475,2019
NEVADA,49.80833333,2019
NEW HAMPSHIRE,43.24166667,2019
NEW JERSEY,54.29166667,2019
NEW MEXICO,54.43333333,2019
NEW YORK,45.25833333,2019
NORTH CAROLINA,61.21666667,2019
NORTH DAKOTA,38.04166667,2019
OHIO,52.38333333,2019
OKLAHOMA,59.8,2019
OREGON,47.16666667,2019
PENNSYLVANIA,49.88333333,2019
RHODE ISLAND,50.58333333,2019
SOUTH CAROLINA,65.00833333,2019
SOUTH DAKOTA,42.49166667,2019
TENNESSEE,59.81666667,2019
TEXAS,65.85833333,2019
UTAH,47.88333333,2019
VERMONT,41.875,2019
VIRGINIA,57.43333333,2019
WASHINGTON,46.55,2019
WEST VIRGINIA,54.15,2019
WISCONSIN,42.075,2019
WYOMING,40.38333333,2019
FLORIDA,70.7,2023
LOUISIANA,66.4,2023
TEXAS,64.8,2023
GEORGIA,63.5,2023
MISSISSIPPI,63.4,2023
ALABAMA,62.8,2023
SOUTH CAROLINA,62.4,2023
ARKANSAS,60.4,2023
ARIZONA,60.3,2023
OKLAHOMA,59.6,2023
CALIFORNIA,59.4,2023
NORTH CAROLINA,59,2023
TENNESSEE,57.6,2023
KENTUCKY,55.6,2023
DELAWARE,55.3,2023
VIRGINIA,55.1,2023
MISSOURI,54.5,2023
KANSAS,54.3,2023
MARYLAND,54.2,2023
NEW MEXICO,53.4,2023
NEW JERSEY,52.7,2023
ILLINOIS,51.8,2023
WEST VIRGINIA,51.8,2023
INDIANA,51.7,2023
OHIO,50.7,2023
RHODE ISLAND,50.1,2023
NEVADA,49.9,2023
CONNECTICUT,49,2023
NEBRASKA,48.8,2023
PENNSYLVANIA,48.8,2023
UTAH,48.6,2023
OREGON,48.4,2023
WASHINGTON,48.3,2023
MASSACHUSETTS,47.9,2023
IOWA,47.8,2023
NEW YORK,45.4,2023
SOUTH DAKOTA,45.2,2023
COLORADO,45.1,2023
IDAHO,44.4,2023
MICHIGAN,44.4,2023
NEW HAMPSHIRE,43.8,2023
WISCONSIN,43.1,2023
VERMONT,42.9,2023
MONTANA,42.7,2023
WYOMING,42,2023
MINNESOTA,41.2,2023
MAINE,41,2023
NORTH DAKOTA,40.4,2023
ALABAMA,,2020
ARIZONA,,2020
ARKANSAS,,2020
CALIFORNIA,,2020
COLORADO,,2020
CONNECTICUT,,2020
DELAWARE,,2020
FLORIDA,,2020
GEORGIA,,2020
IDAHO,,2020
ILLINOIS,,2020
INDIANA,,2020
IOWA,,2020
KANSAS,,2020
KENTUCKY,,2020
LOUISIANA,,2020
MAINE,,2020
MARYLAND,,2020
MASSACHUSETTS,,2020
MICHIGAN,,2020
MINNESOTA,,2020
MISSISSIPPI,,2020
MISSOURI,,2020
MONTANA,,2020
NEBRASKA,,2020
NEVADA,,2020
NEW HAMPSHIRE,,2020
NEW JERSEY,,2020
NEW MEXICO,,2020
NEW YORK,,2020
NORTH CAROLINA,,2020
NORTH DAKOTA,,2020
OHIO,,2020
OKLAHOMA,,2020
OREGON,,2020
PENNSYLVANIA,,2020
RHODE ISLAND,,2020
SOUTH CAROLINA,,2020
SOUTH DAKOTA,,2020
TENNESSEE,,2020
TEXAS,,2020
UTAH,,2020
VERMONT,,2020
VIRGINIA,,2020
WASHINGTON,,2020
WEST VIRGINIA,,2020
WISCONSIN,,2020
WYOMING,,2020
ALABAMA,,2021
ARIZONA,,2021
ARKANSAS,,2021
CALIFORNIA,,2021
COLORADO,,2021
CONNECTICUT,,2021
DELAWARE,,2021
FLORIDA,,2021
GEORGIA,,2021
IDAHO,,2021
ILLINOIS,,2021
INDIANA,,2021
IOWA,,2021
KANSAS,,2021
KENTUCKY,,2021
LOUISIANA,,2021
MAINE,,2021
MARYLAND,,2021
MASSACHUSETTS,,2021
MICHIGAN,,2021
MINNESOTA,,2021
MISSISSIPPI,,2021
MISSOURI,,2021
MONTANA,,2021
NEBRASKA,,2021
NEVADA,,2021
NEW HAMPSHIRE,,2021
NEW JERSEY,,2021
NEW MEXICO,,2021
NEW YORK,,2021
NORTH CAROLINA,,2021
NORTH DAKOTA,,2021
OHIO,,2021
OKLAHOMA,,2021
OREGON,,2021
PENNSYLVANIA,,2021
RHODE ISLAND,,2021
SOUTH CAROLINA,,2021
SOUTH DAKOTA,,2021
TENNESSEE,,2021
TEXAS,,2021
UTAH,,2021
VERMONT,,2021
VIRGINIA,,2021
WASHINGTON,,2021
WEST VIRGINIA,,2021
WISCONSIN,,2021
WYOMING,,2021
ALABAMA,,2022
ARIZONA,,2022
ARKANSAS,,2022
CALIFORNIA,,2022
COLORADO,,2022
CONNECTICUT,,2022
DELAWARE,,2022
FLORIDA,,2022
GEORGIA,,2022
IDAHO,,2022
ILLINOIS,,2022
INDIANA,,2022
IOWA,,2022
KANSAS,,2022
KENTUCKY,,2022
LOUISIANA,,2022
MAINE,,2022
MARYLAND,,2022
MASSACHUSETTS,,2022
MICHIGAN,,2022
MINNESOTA,,2022
MISSISSIPPI,,2022
MISSOURI,,2022
MONTANA,,2022
NEBRASKA,,2022
NEVADA,,2022
NEW HAMPSHIRE,,2022
NEW JERSEY,,2022
NEW MEXICO,,2022
NEW YORK,,2022
NORTH CAROLINA,,2022
NORTH DAKOTA,,2022
OHIO,,2022
OKLAHOMA,,2022
OREGON,,2022
PENNSYLVANIA,,2022
RHODE ISLAND,,2022
SOUTH CAROLINA,,2022
SOUTH DAKOTA,,2022
TENNESSEE,,2022
TEXAS,,2022
UTAH,,2022
VERMONT,,2022
VIRGINIA,,2022
WASHINGTON,,2022
WEST VIRGINIA,,2022
WISCONSIN,,2022
WYOMING,,2022
